1226000,1269000,1222000,352798,1085,1268000,1231000
1255000,1261000,1227000,224186,1091.6,1231000,1230000
1231000,1234000,1219000,181564,1096,1230000,1200000
1228000,1232000,1199000,230524,1096.6,1200000,1194000
1201000,1201000,1180000,181806,1100.5,1194000,1205000
1190000,1220000,1182000,191050,1093.9,1205000,1220000
1220000,1227000,1215000,202891,1099,1220000,1218000
1238000,1238000,1212000,211818,1106.3,1218000,1210000
1206000,1220000,1206000,115634,1115.1,1210000,1223000
1219000,1226000,1217000,186670,1113.8,1223000,1220000
1247000,1248000,1210000,204645,1112.3,1220000,1190000
1224000,1224000,1190000,352803,1109.1,1190000,1201000
1190000,1211000,1182000,228691,1106.5,1201000,1264000
1273000,1301000,1264000,844613,1098.4,1264000,1287000
1295000,1296000,1274000,194989,1107.9,1287000,1295000
1294000,1298000,1287000,257073,1113.5,1295000,1295000
1295000,1295000,1266000,180746,1106.8,1295000,1298000
1300000,1301000,1295000,177023,1112.9,1298000,1300000
1302000,1303000,1298000,175066,1115.2,1300000,1302000
1314000,1314000,1300000,94350,1114.1,1302000,1319000
1303000,1321000,1302000,158293,1117.7,1319000,1349000
1319000,1357000,1319000,270092,1107.8,1349000,1317000
1346000,1346000,1317000,306364,1102.2,1317000,1305000
1317000,1319000,1294000,404020,1100.9,1305000,1286000
1303000,1304000,1274000,287353,1103.1,1286000,1273000
1280000,1280000,1260000,286687,1099.1,1273000,1279000
1270000,1289000,1268000,254878,1086.7,1279000,1266000
1279000,1283000,1253000,250340,1094.9,1266000,1266000
1266000,1279000,1252000,234708,1101.5,1266000,1328000
1294000,1328000,1287000,293756,1102,1328000,1345000
1345000,1347000,1318000,347858,1096.2,1345000,1339000
1346000,1349000,1337000,213935,1102.7,1339000,1343000
1339000,1343000,1339000,114122,1102.6,1343000,1352000
1343000,1355000,1343000,228685,1098.7,1352000,1329000
1345000,1347000,1329000,192740,1097.8,1329000,1330000
1340000,1340000,1327000,159974,1103.5,1330000,1333000
1336000,1336000,1313000,202532,1109.9,1333000,1295000
1315000,1317000,1288000,304601,1098.8,1295000,1307000
1294000,1311000,1282000,283437,1099.9,1307000,1314000
1339000,1339000,1310000,248889,1096.9,1314000,1314000
1314000,1322000,1314000,166231,1090,1314000,1316000
1313000,1319000,1301000,154415,1081.4,1316000,1339000
1314000,1340000,1300000,241087,1083.5,1339000,1345000
1339000,1355000,1335000,284427,1082.2,1345000,1334000
1345000,1349000,1329000,247673,1083.3,1334000,1316000
1334000,1334000,1313000,266260,1077.3,1316000,1343000
1329000,1349000,1320000,133049,1078,1343000,1372000
1350000,1372000,1345000,265151,1088.4,1372000,1395000
1367000,1395000,1360000,298410,1083.4,1395000,1378000
1398000,1399000,1378000,321393,1084.9,1378000,1386000
1400000,1400000,1377000,254930,1084.1,1386000,1389000
1375000,1395000,1364000,202969,1080.8,1389000,1400000
1375000,1400000,1374000,199037,1079.8,1400000,1378000
1386000,1390000,1374000,181886,1084.5,1378000,1360000
1368000,1395000,1357000,253984,1093.9,1360000,1365000
1360000,1377000,1360000,290749,1093.5,1365000,1368000
1365000,1377000,1356000,197740,1103.3,1368000,1366000
1380000,1380000,1359000,113087,1097.4,1366000,1359000
1375000,1381000,1359000,186064,1084.1,1359000,1358000
1359000,1369000,1346000,128618,1090.5,1358000,1372000
1346000,1374000,1336000,154305,1089.7,1372000,1395000
1360000,1399000,1357000,173867,1094.9,1395000,1378000
1400000,1400000,1377000,130172,1089.7,1378000,1355000
